trend_name,trend_url,trend_query,tweet_volume,searched_at_datetime,searched_in_country,sentiment
#WWERaw,http://twitter.com/search?q=%23WWERaw,%23WWERaw,17881,20:59.9,United States,Positive
#911onFOX,http://twitter.com/search?q=%23911onFOX,%23911onFOX,20997,20:59.9,United States,Positive
#BlackLightning,http://twitter.com/search?q=%23BlackLightning,%23BlackLightning,,20:59.9,United States,Positive
#eloninthechat,http://twitter.com/search?q=%23eloninthechat,%23eloninthechat,,20:59.9,United States,Positive
#TheVoice,http://twitter.com/search?q=%23TheVoice,%23TheVoice,,20:59.9,United States,Positive
#SorryDay,http://twitter.com/search?q=%23SorryDay,%23SorryDay,,39:52.6,Australia,Positive
#COVID19Vic,http://twitter.com/search?q=%23COVID19Vic,%23COVID19Vic,,39:52.6,Australia,Positive
#mieeforum,http://twitter.com/search?q=%23mieeforum,%23mieeforum,,39:52.6,Australia,Positive
#lockdown,http://twitter.com/search?q=%23lockdown,%23lockdown,14273,39:52.6,Australia,Positive
#MIEExpert,http://twitter.com/search?q=%23MIEExpert,%23MIEExpert,,39:52.6,Australia,Positive
#LibertadoresNoSBT,http://twitter.com/search?q=%23LibertadoresNoSBT,%23LibertadoresNoSBT,,39:52.6,Brazil,Positive
#LibertadoresFOXSports,http://twitter.com/search?q=%23LibertadoresFOXSports,%23LibertadoresFOXSports,,39:52.6,Brazil,Positive
#AmazonTricolor,http://twitter.com/search?q=%23AmazonTricolor,%23AmazonTricolor,38529,39:52.6,Brazil,Positive
#ADestruiçãoDeSodoma,http://twitter.com/search?q=%23ADestrui%C3%A7%C3%A3oDeSodoma,%23ADestrui%C3%A7%C3%A3oDeSodoma,14360,39:52.6,Brazil,Positive
#TricolorNaConmebolTV,http://twitter.com/search?q=%23TricolorNaConmebolTV,%23TricolorNaConmebolTV,,39:52.6,Brazil,Positive
#Habs,http://twitter.com/search?q=%23Habs,%23Habs,,39:52.6,Canada,Positive
#TORvsMTL,http://twitter.com/search?q=%23TORvsMTL,%23TORvsMTL,,39:52.6,Canada,Positive
#WWENXT,http://twitter.com/search?q=%23WWENXT,%23WWENXT,18676,39:52.6,Canada,Positive
#bootwtselfieday,http://twitter.com/search?q=%23bootwtselfieday,%23bootwtselfieday,10142,39:52.6,Canada,Positive
#pdsbmtg,http://twitter.com/search?q=%23pdsbmtg,%23pdsbmtg,,39:52.6,Canada,Positive
#rdveti,http://twitter.com/search?q=%23rdveti,%23rdveti,,39:52.6,France,Positive
#rendezvousenterreinconnue,http://twitter.com/search?q=%23rendezvousenterreinconnue,%23rendezvousenterreinconnue,,39:52.6,France,Positive
#AJamaisLesPremiers,http://twitter.com/search?q=%23AJamaisLesPremiers,%23AJamaisLesPremiers,,39:52.6,France,Positive
#NBAextra,http://twitter.com/search?q=%23NBAextra,%23NBAextra,,39:52.6,France,Positive
#STREAMINGBUTTER,http://twitter.com/search?q=%23STREAMINGBUTTER,%23STREAMINGBUTTER,1155768,39:52.6,France,Positive
#Lanz,http://twitter.com/search?q=%23Lanz,%23Lanz,,39:52.6,Germany,Positive
#STREAMINGBUTTER,http://twitter.com/search?q=%23STREAMINGBUTTER,%23STREAMINGBUTTER,1155442,39:52.6,Germany,Positive
#besteshow,http://twitter.com/search?q=%23besteshow,%23besteshow,,39:52.6,Germany,Positive
#LateNightBerlin,http://twitter.com/search?q=%23LateNightBerlin,%23LateNightBerlin,,39:52.6,Germany,Positive
#AskMarvel,http://twitter.com/search?q=%23AskMarvel,%23AskMarvel,,39:52.6,Germany,Positive
#Black_Day_Of_Farmers,http://twitter.com/search?q=%23Black_Day_Of_Farmers,%23Black_Day_Of_Farmers,,39:52.6,India,Positive
#NationalBlackDay,http://twitter.com/search?q=%23NationalBlackDay,%23NationalBlackDay,,39:52.6,India,Positive
#GodMorningWednesday,http://twitter.com/search?q=%23GodMorningWednesday,%23GodMorningWednesday,,39:52.6,India,Positive
#FeedAndSaveBirds,http://twitter.com/search?q=%23FeedAndSaveBirds,%23FeedAndSaveBirds,,39:52.6,India,Positive
#wednesdaythought,http://twitter.com/search?q=%23wednesdaythought,%23wednesdaythought,,39:52.6,India,Positive
#BuddhaPurnima,http://twitter.com/search?q=%23BuddhaPurnima,%23BuddhaPurnima,,39:52.6,India,Positive
#FreeJaggiNow,http://twitter.com/search?q=%23FreeJaggiNow,%23FreeJaggiNow,15468,39:52.6,India,Positive
#6MonthsOfFarmersProtest,http://twitter.com/search?q=%236MonthsOfFarmersProtest,%236MonthsOfFarmersProtest,,39:52.6,India,Positive
#TwitterBanInIndia,http://twitter.com/search?q=%23TwitterBanInIndia,%23TwitterBanInIndia,13975,39:52.6,India,Positive
#STREAMINGBUTTER,http://twitter.com/search?q=%23STREAMINGBUTTER,%23STREAMINGBUTTER,1155718,39:52.6,India,Positive
#Wednesdayvibe,http://twitter.com/search?q=%23Wednesdayvibe,%23Wednesdayvibe,,39:52.6,India,Positive
#WednesdayMotivation,http://twitter.com/search?q=%23WednesdayMotivation,%23WednesdayMotivation,,39:52.6,India,Positive
#ObbligoVaccinale,http://twitter.com/search?q=%23ObbligoVaccinale,%23ObbligoVaccinale,,39:52.6,Italy,Positive
#cartabianca,http://twitter.com/search?q=%23cartabianca,%23cartabianca,,39:52.6,Italy,Positive
#nuovocinemaparadiso,http://twitter.com/search?q=%23nuovocinemaparadiso,%23nuovocinemaparadiso,,39:52.6,Italy,Positive
#partitadelcuore,http://twitter.com/search?q=%23partitadelcuore,%23partitadelcuore,26237,39:52.6,Italy,Positive
#soulsister,http://twitter.com/search?q=%23soulsister,%23soulsister,,39:52.6,Italy,Positive
#STREAMINGBUTTER,http://twitter.com/search?q=%23STREAMINGBUTTER,%23STREAMINGBUTTER,1155768,39:52.6,Ukraine,Positive
#nsfwِ,http://twitter.com/search?q=%23nsfw%D9%90,%23nsfw%D9%90,56787,39:52.6,Ukraine,Positive
#MorenaNosDejóMorir,http://twitter.com/search?q=%23MorenaNosDej%C3%B3Morir,%23MorenaNosDej%C3%B3Morir,16259,39:52.6,Mexico,Positive
#NoVotesPorMorena,http://twitter.com/search?q=%23NoVotesPorMorena,%23NoVotesPorMorena,12546,39:52.6,Mexico,Positive
#IntegracionLouiesMexas,http://twitter.com/search?q=%23IntegracionLouiesMexas,%23IntegracionLouiesMexas,,39:52.6,Mexico,Positive
#FinalesEnPlaydoit,http://twitter.com/search?q=%23FinalesEnPlaydoit,%23FinalesEnPlaydoit,,39:52.6,Mexico,Positive
#정호석금발,http://twitter.com/search?q=%23%EC%A0%95%ED%98%B8%EC%84%9D%EA%B8%88%EB%B0%9C,%23%EC%A0%95%ED%98%B8%EC%84%9D%EA%B8%88%EB%B0%9C,,39:52.6,Mexico,Positive
#RHONY,http://twitter.com/search?q=%23RHONY,%23RHONY,,39:52.6,United States,Positive
#WWENXT,http://twitter.com/search?q=%23WWENXT,%23WWENXT,19027,39:52.6,United States,Positive
#bootwtselfieday,http://twitter.com/search?q=%23bootwtselfieday,%23bootwtselfieday,10155,39:52.6,United States,Positive
#bootwtprom,http://twitter.com/search?q=%23bootwtprom,%23bootwtprom,,39:52.6,United States,Positive
#NCIS,http://twitter.com/search?q=%23NCIS,%23NCIS,,39:52.6,United States,Positive
#melbournelockdown,http://twitter.com/search?q=%23melbournelockdown,%23melbournelockdown,,52:43.9,Australia,Positive
